app,time,outlier,time2
Instagram,3.8833333333333333,0,3.8833333333333333
Facebook,0.2,0,0.2
YouTube,0.2,0,0.2
TikTok,0,0,0
Instagram,5.933333333333334,0,5.933333333333334
Facebook,0,0,0
YouTube,1.8333333333333335,0,1.8333333333333335
TikTok,4.8,0,4.8
Instagram,6.583333333333333,0,6.583333333333333
Facebook,1.8666666666666667,0,1.8666666666666667
YouTube,6.283333333333333,1,NA
TikTok,1.0166666666666666,0,1.0166666666666666
Instagram,1.2333333333333334,0,1.2333333333333334
Facebook,0.18333333333333332,0,0.18333333333333332
YouTube,0.4166666666666667,0,0.4166666666666667
TikTok,2.216666666666667,0,2.216666666666667
Instagram,6.666666666666667,0,6.666666666666667
Facebook,2.533333333333333,0,2.533333333333333
YouTube,0,0,0
TikTok,1.6166666666666667,0,1.6166666666666667
Instagram,1.1666666666666667,0,1.1666666666666667
Facebook,1.2833333333333332,0,1.2833333333333332
YouTube,0,0,0
TikTok,0.8166666666666667,0,0.8166666666666667
Instagram,0.8166666666666667,0,0.8166666666666667
Facebook,0.4666666666666667,0,0.4666666666666667
YouTube,2.4333333333333336,0,2.4333333333333336
TikTok,1.5166666666666666,0,1.5166666666666666
Instagram,4.883333333333333,0,4.883333333333333
Facebook,1.4,0,1.4
YouTube,0,0,0
TikTok,1,0,1
Instagram,0.5,0,0.5
Facebook,0.05,0,0.05
YouTube,0.5,0,0.5
TikTok,0,0,0
Instagram,2.6333333333333333,0,2.6333333333333333
Facebook,0.5333333333333333,0,0.5333333333333333
YouTube,0.3333333333333333,0,0.3333333333333333
TikTok,0.5833333333333334,0,0.5833333333333334
Instagram,2.066666666666667,0,2.066666666666667
Facebook,0.03333333333333333,0,0.03333333333333333
YouTube,1.3333333333333333,0,1.3333333333333333
TikTok,5.416666666666667,0,5.416666666666667
Instagram,4.966666666666667,0,4.966666666666667
Facebook,3.9166666666666665,0,3.9166666666666665
YouTube,3.7,0,3.7
TikTok,0,0,0
Instagram,0.016666666666666666,0,0.016666666666666666
Facebook,0,0,0
YouTube,0.08333333333333333,0,0.08333333333333333
TikTok,9.166666666666666,0,9.166666666666666
Instagram,1.55,0,1.55
Facebook,6.233333333333333,0,6.233333333333333
YouTube,0.25,0,0.25
TikTok,0,0,0
Instagram,0,0,0
Facebook,0,0,0
YouTube,7,0,7
TikTok,4,0,4
Instagram,7,0,7
Facebook,2,0,2
YouTube,10,0,10
TikTok,2,0,2
Instagram,4,0,4
Facebook,2,0,2
YouTube,0,0,0
TikTok,8.3,0,8.3
Instagram,1.9333333333333333,0,1.9333333333333333
Facebook,8.15,0,8.15
YouTube,2,0,2
TikTok,3,0,3
Instagram,0,0,0
Facebook,0.5,0,0.5
YouTube,1,0,1
TikTok,10.5,0,10.5
Instagram,15,1,NA
Facebook,5,0,5
YouTube,5,0,5
TikTok,15.05,0,15.05
Instagram,5.333333333333333,0,5.333333333333333
Facebook,5.05,0,5.05
YouTube,3,0,3
TikTok,8,0,8
Instagram,2,0,2
Facebook,1,0,1
YouTube,0,0,0
TikTok,5,0,5
Instagram,1,0,1
Facebook,0,0,0
